,class,id,title,url,is_paid,price
17780,'course','2260268','Vysor - Espelhando o Seu Smartphone Android no PC','/course/vysor-uma-janela-para-o-seu-smartphone/','false','Free'
17781,'course','2553753','Adobe Premiere em 20 minutos. + Aula Extra.','/course/premiere-em-20-minutos/','false','Free'
17782,'course','2520894','Lideran�a Coaching em 7 Dias','/course/lideranca-coaching-em-7-dias/','false','Free'
17783,'course','2132912','Excel b�sico 2013/2016','/course/excel-basico-20132016/','false','Free'
17784,'course','911948','Novidades do Premiere Pro CC 2014','/course/novidades-do-premiere-pro-cc-2014/','false','Free'
17785,'course','1913982','Ger�ncia de Configura��o de Software com Mercurial - Parte 1','/course/gerencia-de-configuracao-de-software-com-mercurial-1/','false','Free'
17786,'course','1799710','Formate �ndices, abrevia��es e lombadas conforme a ABNT','/course/formate-indices-abreviacoes-e-lombadas-conforme-a-abnt/','false'
17787,'course','1440160','Como/Por que Estudar? �nimo Te�rico-metodol�gico Introdu��o','/course/animotmintro/','false','Free'
17788,'course','1451176','DataSys Online PDV Dashboard','/course/datasys-pdv-dashboard/','false','Free'
17789,'course','2501678','Introdu��o aos conceitos de Python','/course/introducao-aos-conceitos-de-python/','false','Free'
17790,'course','1495908','Poderes da Rep�blica','/course/poderesdarepublica/','false','Free'
17791,'course','2388248','Profissional 4.0: como ser� o futuro do trabalho?','/course/como-sera-o-futuro-do-trabalho/','false','Free'
17792,'course','2431830','Conhe�a uma sess�o de Coaching','/course/conheca-uma-sessao-de-coaching/','false','Free'
17793,'course','1561534','RDUniversity - Tudo sobre E-commerce','/course/rduniversity/','false','Free'
17794,'course','1763496','Autoresponder Gratis','/course/curso-autoresponder-gratis/','false','Free'
17795,'course','2142786','Curso de Aconselhamento Pastoral','/course/curso-de-aconselhamento-pastoral/','false','Free'
17796,'course','2553055','SketchUp B�sico Completo','/course/sketchup-basico-completo/','false','Free'
17797,'course','2489154','Microsoft OneNote 2016. Curso completo, enxuto e definitivo.','/course/onenote2016/','false'
17798,'course','2516234','Como atrair mulheres mesmo n�o sendo rico ou bonito.','/course/methode-x/','false','Free'
17799,'course','1683216','Acelere na estrada da vida e crie seu caminho para o sucesso','/course/acelere-na-estrada-da-vida/','false','Free'
17800,'course','2507468','Lean Manufacturing','/course/especialista-lean-manufacturing/','false','Free'
17801,'course','2285539','EBOOK: Conte uma hist�ria para o mundo.','/course/workshop-ebook/','false','Free'
17802,'course','2233494','Ableton Brazil 2019 - Curso Iniciante Side A','/course/producao-musical-ableton-2019-curso-iniciante-side-a/','false','Free'
17803,'course','2478512','Twine - Crie hist�rias interativas e n�o lineares','/course/curso-twine/','false','Free'
17804,'course','2320562','Aprenda e domine Guitarra Shred','/course/neoclassical-shred-guitar-concepts/','false','Free'
17805,'course','2471694','Como ser um profissional de resultados','/course/profissional-de-resultados/','false','Free'
17806,'course','2387920','Foco e Produtividade: Conquistando Objetivos na Pr�tica!','/course/autocoaching-metas-objetivos/','false','Free'
17807,'course','2533488','Eleva a tua vida com PNL','/course/eleve-a-sua-vida-com-pnl/','false','Free'
17808,'course','1718286','Tecnologias da Microsoft para a Educa��o','/course/microsoft-para-a-educacao/','false','Free'
17809,'course','2417674','Curso Conhecendo seu Macbook - Parte I','/course/curso-conhecendo-seu-macbook-parte1/','false','Free'
17810,'course','2555400','Finan�as: Minicurso de Educa��o Financeira e Investimentos','/course/financas-minicurso-de-educacao-financeira-e-investimentos/','false','Free'
17811,'course','2176736','Minicurso Revit Template Perfeito','/course/minicurso-revit-template-perfeito/','false','Free'
17812,'course','2417414','O Caminho das Pedras - 3 Simples Passos para Realizar Sonhos','/course/ocaminhodaspedras/','false','Free'
17813,'course','2562962','Virtualiza��o com VirtualBox e Hyper-v','/course/virtualizacao-com-virtualbox-e-hyper-v/','false','Free'
17814,'course','2188866','Biblioteconomia � para voc�?','/course/biblioteconomia-e-para-voce/','false','Free'
17815,'course','2281778','Minicurso Microcontroladores PIC com MPLAB XC8: Iniciante','/course/minicurso-microcontroladores-pic-com-mplab-xc8-iniciante/','false','Free'
17816,'course','1534948','Treinamento B�sico de Utiliza��o do iDox','/course/treinamento-de-utilizacao-idox/','false','Free'
17817,'course','1519494','A Fonte do Poder','/course/paradigma/','false','Free'
17818,'course','2040510','Modelando um avi�o no 3DS MAX.','/course/modelando-um-aviao-no-3ds-max/','false','Free'
17819,'course','2554887','MasterClass - MailChimp Do Zero A Primeira Campanha','/course/masterclass-mailchimp-do-zero-a-primeira-campanha/','false','Free'
17820,'course','1740016','Networking com alunos','/course/networking-com-alunos/','false','Free'
17821,'course','2190570','WordPress Seguro - Proteja Sites contra Virus e Invas�es','/course/wordpress-seguro/','false','Free'
17822,'course','2378876','BRF+ SAP: B�sico','/course/brf-sap-do-basico-ao-avancado/','false','Free'
17823,'course','2505752','Curso de RB Mikrotik: O B�sico para  Gerenciamento de Redes','/course/curso-redes-mikrotik-/','false','Free'
17824,'course','2414910','Vencendo Cren�as Limitantes','/course/vencendo-crencas-limitantes/','false','Free'
17825,'course','1934242','As 10 mentiras que te contam sobre ter uma loja virtual','/course/as-10-mentiras-que-te-contam-sobre-ter-uma-loja-virtual/','false','Free'
17826,'course','1896616','Como Tocar Bai�o no Viol�o','/course/como-tocar-baiao-no-violao/','false','Free'
17827,'course','2563850','Curso b�sico de Jupyter Notebook','/course/curso-basico-de-jupyter-notebook/','false','Free'
17828,'course','2593840','Inteligencia Emocional: 5 Pilares para sucesso profissional','/course/inteligencia-emocional-cinco-pilares-para-sucesso-profissional/','false','Free'
17829,'course','2346474','Como podemos provocar mudan�as na sociedade?','/course/como-podemos-provocar-mudancas-na-sociedade/','false','Free'
17830,'course','1918438','SQL Server - Instala��o e Configura��o - Seu guia r�pido.','/course/sqlserver-instalacao-e-configuracao/','false','Free'
17831,'course','2367878','Pinterest na pr�tica: como alavancar seu neg�cio','/course/pinterest-na-pratica-como-alavancar-seu-negocio/','false','Free'
17832,'course','2551553','Como Criar Uma P�gina de Captura e Gerar Leads No Seu Site','/course/como-criar-uma-pagina-de-captura-e-gerar-leads-no-seu-site/','false','Free'
17833,'course','2218482','Crie um site profissional em menos de 24h','/course/crie-um-site-profissional-em-menos-de-24h/','false','Free'
17834,'course','2480502','Marketing Jur�dico na Pr�tica','/course/marketing-juridico-na-pratica/','false','Free'
17835,'course','2517068','Modelando Carro Cartoon com Blender 2.8','/course/modelando-carro-cartoon-com-blender-28/','false','Free'
17836,'course','1883796','Trabalhe de casa','/course/trabalhe-de-casa/','false','Free'
17837,'course','2427680','E-Book de Licita��es e Contratos','/course/e-book-de-licitacoes-e-contratos/','false','Free'
17838,'course','1614058','Como vencer a timidez e o medo da cr�tica','/course/como-vencer-a-timidez/','false','Free'
17839,'course','2471946','Melhoramento Focado: Ferramenta Alerta da Qualidade','/course/melhoramento-focado-alerta-da-qualidade/','false','Free'
17840,'course','2351000','Vest Hacks - 9 segredos para aprova��o no vestibular','/course/vest-hacks-9-segredos-para-aprovacao-no-vestibular/','false','Free'
17841,'course','2278968','Curso de teste unit�rio com QUnit','/course/curso-de-teste-unitario-com-qunit/','false','Free'
17842,'course','2367884','Elimine sua Procrastina��o: Aumentando seu Foco em 2019','/course/o-guia-completo-para-alta-produtividade-e-foco-diario/','false','Free'
17843,'course','2564826','Windows server 2019 - Alta disponibilidade de servidores WEB','/course/windows-server-2019-alta-disponibilidade-de-servidores-web/','false','Free'
17844,'course','2489664','PhoneGap + Android + PlayStore','/course/phonegap-android-playstore/','false','Free'
17845,'course','2465798','Desenvolvendo jogos com a GDevelop 5','/course/desenvolvendojogoscomagdevelop5/','false','Free'
17846,'course','2554667','Introdu��o ao Roteiro','/course/introducao-ao-roteiro/','false','Free'
17847,'course','2307310','Como Ser um vendedor de planos de Sa�de de Sucesso','/course/como-ser-um-vendedor-de-planos-de-saude-de-sucesso/','false','Free'
17848,'course','919908','T�cnicas de Apresenta��es de Alto Impacto','/course/tecnicas-de-apresentacoes/','false','Free'
17849,'course','2395720','Mexendo e apostando no BET365 passo a passo','/course/apostas-esportivas-passoapsso-bet365/','false','Free'
17850,'course','2372388','Mapa do aprendiz de escritor','/course/comoescreverumahistoria/','false','Free'
17851,'course','2474968','Como Criar um Site Minimalista para Sua Empresa','/course/site-minimalista-para-sua-empresa/','false','Free'
17852,'course','2577628','Estrat�gia sem crise - aprenda a planejar para executar','/course/estrategia-sem-crise-aprenda-a-planejar-para-executar/','false','Free'
17853,'course','2611342','D�lar Futuro Online � Gratuito','/course/dolar-futuro-online-gratuito/','false','Free'
17854,'course','2249502','Medita��o crist� ao estilo mindfulness','/course/meditacao-crista/','false','Free'
17855,'course','2315350','Landing Page de Alta Convers�o - Como Criar Landing Pages','/course/como-criar-landing-pages-de-alta-conversao/','false','Free'
17856,'course','2410326','Salescope Mapas - Intelig�ncia de Vendas: Curso Completo','/course/salescope-mapas-inteligencia-de-vendas-curso-completo/','false','Free'
17857,'course','2568546','Como estudar matem�tica: Hackeando a matem�tica (TeoriaVlog)','/course/como-estudar-matematica-hackeando-a-matematica/','false','Free'
17858,'course','2397390','Como iniciar na bolsa de valores [Opera��es]','/course/como-iniciar-na-bolsa-de-valores/','false','Free'
17859,'course','1734374','Conceitos de forma��o presencial, online e Mista','/course/conceitos-de-formacao-presencial-online-e-mista/','false'
17860,'course','2369692','Wibox com ganhar dinheiro com seu Wi-fi.','/course/como-ganhar-dinheiro-com-seu-wi-fi/','false','Free'
17861,'course','2560026','Introdu��o Do Windows Server 2019','/course/introducao-do-windows-server-2019/','false','Free'
17862,'course','2564930','Construindo um curr�culo infal�vel','/course/construindo-um-curriculo-infalivel/','false','Free'
17863,'course','2474010','Constru��o e aplica��o de question�rios de pesquisa social','/course/construcao-e-aplicacao-de-questionarios-de-pesquisa-social/','false','Free'
17864,'course','765818','Emboliza��o de Miomas para Ginecologistas e Obstetras','/course/embolizacao-de-miomas-para-ginecologistas-e-obstetras/','false','Free'
17865,'course','2491448','As 5 provas da exist�ncia de Deus segundo Tom�s de Aquino','/course/as-5-provas-da-existencia-de-deus-segundo-tomas-de-aquino/','false','Free'
17866,'course','2361314','Curso te�rico b�sico de parapente','/course/curso-basico-de-parapente/','false','Free'
17867,'course','2581976','Minicurso: Libras para o Contexto Escolar','/course/minicurso-libras-escolar/','false','Free'
17868,'course','2268666','Criando Controle Financeiro do Zero no Excel','/course/criando-controle-financeiro-do-zero-no-excel/','false','Free'
17869,'course','2572438','Curso GeneXus 16 - N�vel Junior (portugu�s)','/course/curso-genexus-16-nivel-junior-pt/','false','Free'
17870,'course','1121148','Como criar p�ssaros - Curi�','/course/como-criar-passaros-curio/','false','Free'
17871,'course','2559792','Master Marketing Digital - 2019/2020','/course/master-marketing-digital/','false','Free'
17872,'course','1845084','Mestre do PowerPoint','/course/mestre-do-powerpoint/','false','Free'
17873,'course','2572524','Revis�o Mec�nica dos S�lidos - Momento de For�a','/course/revisao-mec-solidos/','false','Free'
17874,'course','2572524','Revis�o Mec�nica dos S�lidos - Momento de For�a','/course/revisao-mec-solidos/','false','Free'
17875,'course','2598576','Microsoft na Nuvem - Word, Excel, Power Point gr�tis','/course/microsoft-na-nuvem-word-excel-power-point-gratis/'
17876,'course','2458184','Ci�ncia da religi�o','/course/ciencia-da-religiao/','false','Free'
17877,'course','2415984','Orienta��o Profissional 4.0','/course/orientacaoprofissionaljobiflix/','false','Free'
17878,'course','912026','Novidades do After Effects CC 2014','/course/novidades-do-after-effects-cc-2014/','false','Free'
17879,'course','2564364','Masterizando o Photoshop - Trabalhando com vari�veis .','/course/masterizando-o-photoshop-trabalhando-com-variaveis/','false','Free'
17880,'course','2482986','B2W - Submarino, Americanas e Shoptime','/course/b2w-submarino-americanas-e-shoptime/','false'
17881,'course','2588318','Introdu��o ao jQuery','/course/introducao-jquery/','false','Free'
17882,'course','2179886','Amor e a complexidade dos relacionamentos - M�dia que Ensina','/course/amor-e-a-complexidade-dos-relacionamentos/','false','Free'
17883,'course','2545807','Treinamento de Improvisa��o para Guitarristas e Violonistas','/course/treinamento-de-improvisacao-para-guitarristas-e-violonistas/','false','Free'
17884,'course','2161958','Aprenda Scratch e FRANZmakey','/course/scratch-com-franzmakey-para-makers/','false','Free'
17885,'course','2522562','Curso sobre o Sigilo Banc�rio','/course/curso-sobre-o-sigilo-bancario/','false','Free'
17886,'course','1734584','Falando sobre Intelig�ncia Competitiva','/course/falando-sobre-inteligencia-competitiva/','false','Free'
17887,'course','2565308','Pedagogia da Autonomia','/course/pedagogia-da-autonomia/','false','Free'
17888,'course','2553291','Como Estudar Inteligentemente (Vlog)','/course/como-estudar-inteligentemente/','false','Free'
17889,'course','1758262','Venda Mais Livros: Fa�a Seu Site de Livros em 1 hora!','/course/como-vender-livros/','false','Free'
17890,'course','2581354','Fundamentos da Teologia Sistem�tica','/course/fundamentos-da-teologia-sistematica/','false','Free'
17891,'course','1708928','Aprenda Sites','/course/aprenda-sites/','false','Free'
17892,'course','2179916','Niilismo, existencialismo e vazio - M�dia que Ensina','/course/niilismo-existencialismo-e-vazio-midia-que-ensina/','false'
17893,'course','2189024','O fant�stico mundo do Bitcoin Vers�o em Libras - 8Trader','/course/o-fantastico-mundo-do-bitcoin-em-libras-8trader/','false','Free'
17894,'course','2558574','Fundamentos Python: estudando no Android','/course/fundamentos-python-estudando-no-android/','false','Free'
17895,'course','2349484','Curso de Carreira Profissional: Como Passar Numa Entrevista','/course/cursocarreira-marcioberber/','false','Free'
17896,'course','2547083','Aprenda tudo sobre a Cloudia para cl�nicas','/course/cloudiabot/','false','Free'
17897,'course','2586840','Excel (Office 365) Tudo o que um iniciante precisa saber','/course/excel-office-365-tudo-o-que-um-iniciante-precisa-saber/','false','Free'
17898,'course','2512170','Instalando e configurando Linux Ubuntu pela 1� vez','/course/instalando-o-linux-ubuntu-pela-1o-vez/','false','Free'
17899,'course','2266516','Aulas de �rabe','/course/aulas-de-arabe/','false','Free'
17900,'course','2176490','Forma��o em Mission�rio','/course/formacao-em-missionario/','false','Free'
17901,'course','1995706','Sistema Lexos','/course/sistema-erp-lexos-treinamento-basic/','false','Free'
